Famille,Type produit,Complément Produit,Pays,Région,Sous-Région,Signe de l'Origine,Origine,Mention,Nom,Complément étiquette / Cuvée,Etiquette,Classement / Appellation,Du Classement / Climat,Producteur / Embouteilleur,Couleur,Premier millésime,Dernier Millésime,Millésime(s) non produit(s),C10
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,BORDEAUX SUPERIEUR,CHATEAU,ROC DU BARRAIL,ND,"CHATEAU ROC DU BARRAIL, BORDEAUX SUPERIEUR, ROUGE",ND,ND,EARL VIGNOBLES SIOZARD,ROUGE,ND,ND,ND,1111A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,DE CALLAC,CUVEE PRESTIGE,"CHATEAU DE CALLAC, CUVEE PRESTIGE, GRAVES, ROUGE",ND,ND,SARL CALLAC MG,ROUGE,ND,ND,ND,1112A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,DE CALLAC,SG,"CHATEAU DE CALLAC, SG, GRAVES, BLANC",ND,ND,SARL CALLAC MG,BLANC,ND,ND,ND,1113A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,BEL AIR GALLIER,ND,"CHATEAU BEL AIR GALLIER, GRAVES, ROUGE",ND,ND,SARL CALLAC MG,ROUGE,ND,ND,ND,1114A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,BEL AIR GALLIER,ND,"CHATEAU BEL AIR GALLIER, GRAVES, BLANC",ND,ND,SARL CALLAC MG,BLANC,ND,ND,ND,1115A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,DE CALLAC,ND,"CHATEAU DE CALLAC, GRAVES, ROUGE",ND,ND,SARL CALLAC MG,ROUGE,ND,ND,ND,1116A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,GRAVES,CHATEAU,DE CALLAC,ND,"CHATEAU DE CALLAC, GRAVES, BLANC",ND,ND,SARL CALLAC MG,BLANC,ND,ND,ND,1117A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOP,BORDEAUX,CHATEAU,ANSERIS,BLANC DE NOIR,"CHATEAU ANSERIS, BLANC DE NOIR, BORDEAUX, BLANC",ND,ND,SARL CAMINADE ET FILS,BLANC,ND,ND,ND,1118A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,BORDEAUX,CHATEAU,HAUT CARDONNET,CUVEE PRESTIGE,"CHATEAU HAUT CARDONNET, CUVEE PRESTIGE, BORDEAUX, ROUGE",ND,ND,SARL CAMINADE ET FILS,ROUGE,ND,ND,ND,1119A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,BORDEAUX,CHATEAU,CAMINADE HAUT GUERIN,CUVEE TENTATION MERLOT,"CHATEAU CAMINADE HAUT GUERIN, CUVEE TENTATION MERLOT, BORDEAUX, ROUGE",ND,ND,SARL CAMINADE ET FILS,ROUGE,ND,ND,ND,1120A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,BORDEAUX,CHATEAU,CAMINADE HAUT GUERIN,ELEVE EN FUT DE CHENE,"CHATEAU CAMINADE HAUT GUERIN, ELEVE EN FUT DE CHENE, BORDEAUX, ROUGE",ND,ND,SARL CAMINADE ET FILS,ROUGE,ND,ND,ND,1121A0
VIN,VIN TRANQUILLE,ND,FRANCE,BORDEAUX,ND,AOC,BORDEAUX,CHATEAU,HAUT CARDONNET,FLEUR DE VITRAC CUVEE PRESTIGE,"CHATEAU HAUT CARDONNET, FLEUR DE VITRAC CUVEE PRESTIGE, BORDEAUX, ROUGE",ND,ND,SARL CAMINADE ET FILS,ROUGE,ND,ND,ND,1122A0
